QuestionNum,Question,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Answer,Explaination,ImageUrl,QuizCode,QuizTitle,QuizDescription
100,You are checking the workload on some of your General Purpose (SSD) and Provisioned IOPS (SSD) volumes and it seems that the I/O latency is higher than you require. You should probably check the _____________ to make sure that your application is not trying to drive more IOPS than you have provisioned.,Amount of IOPS that are available,Acknowledgement from the storage subsystem,Average queue length,Time it takes for the I/O operation to complete,,C,"In EBS workload demand plays an important role in getting the most out of your General Purpose (SSD) and Provisioned IOPS (SSD) volumes. In order for your volumes to deliver the amount of IOPS that are available, they need to have enough I/O requests sent to them. There is a relationship between the demand on the volumes, the amount of IOPS that are available to them, and the latency of the request (the amount of time it takes for the I/O operation to complete). Latency is the true end-to-end client time of an I/O operation; in other words, when the client sends a IO, how long does it take to get an acknowledgement from the storage subsystem that the IO read or write is complete. If your I/O latency is higher than you require, check your average queue length to make sure that your application is not trying to drive more IOPS than you have provisioned. You can maintain high IOPS while keeping latency down by maintaining a low average queue length (which is achieved by provisioning more IOPS for your volume). Reference: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-workload-demand.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
101,Which of the below mentioned options is not available when an instance is launched by Auto Scaling with EC2 Classic?,Public IP,Elastic IP,Private DNS,Private IP,,B,"Auto Scaling supports both EC2 classic and EC2-VPC. When an instance is launched as a part of EC2 classic, it will have the public IP and DNS as well as the private IP and DNS. Reference: http://docs.aws.amazon.com/AutoScaling/latest/DeveloperGuide/GettingStartedTutorial.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
102,You have been given a scope to deploy some AWS infrastructure for a large organisation. The requirements are that you will have a lot of EC2 instances but may need to add more when the average utilization of your Amazon EC2 fleet is high and conversely remove them when CPU utilization is low. Which AWS services would be best to use to accomplish this?,"Auto Scaling, Amazon CloudWatch and AWS Elastic Beanstalk","Auto Scaling, Amazon CloudWatch and Elastic Load Balancing.","Amazon CloudFront, Amazon CloudWatch and Elastic Load Balancing.","AWS Elastic Beanstalk , Amazon CloudWatch and Elastic Load Balancing.",,B,"Auto Scaling enables you to follow the demand curve for your applications closely, reducing the need to manually provision Amazon EC2 capacity in advance. For example, you can set a condition to add new Amazon EC2 instances in increments to the Auto Scaling group when the average utilization of your Amazon EC2 fleet is high; and similarly, you can set a condition to remove instances in the same increments when CPU utilization is low. If you have predictable load changes, you can set a schedule through Auto Scaling to plan your scaling activities. You can use Amazon CloudWatch to send alarms to trigger scaling activities and Elastic Load Balancing to help distribute traffic to your instances within Auto Scaling groups. Auto Scaling enables you to run your Amazon EC2 fleet at optimal utilization. Reference: http://aws.amazon.com/autoscaling/",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
103,"A company's legacy application is currently relying on a single-instance Amazon RDS MySQL database without encryption. Due to new compliance requirements, all existing and new data in this database must be encrypted. How should this be accomplished?",Create an Amazon S3 bucket with server-side encryption enabled. Move all the data to Amazon S3 Delete the RDS instance.,Enable RDS Multi-AZ mode with encryption at rest enabled. Perform a failover to the standby instance to delete the original instance.,Take a snapshot of the RDS instance Create an encrypted copy of the snapshot. Restore the RDS instance from the encrypted snapshot.,Create an RDS read replica with encryption at rest enabled. Promote the read replica to master and switch the application over to the new master Delete the old RDS instance.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
104,"A company has a three-tier image-sharing application it uses an Amazon EC2 instance for the front-end layer, another for the backend tier, and a third for the MySQL database. A solutions architect has been tasked with designing a solution that is highly available, and requires the least amount of changes to the application. Which solution meets these requirements'?",Use Amazon S3 to host the front-end layer and AWS Lambda functions for the backend layer. Move the database to an Amazon DynamoDB table and use Amazon S3 to store and serve users' images.,Use load-balanced Multi-AZ AWS Elastic Beanstalk environments for the front-end and backend layers. Move the database to an Amazon RDS instance with multiple read replicas to store and serve users' images.,Use Amazon S3 to host the front-end layer and a fleet of Amazon EC2 instances in an Auto Scaling group for the backend layer. Move the database to a memory optimized instance type to store and serve users' images.,Use load-balanced Multi-AZ AWS Elastic Beanstalk environments for the front-end and backend layers. Move the database to an Amazon RDS instance with a Multi-AZ deployment Use Amazon S3 to store and serve users' images.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
105,A web application is deployed in the AWS Cloud It consists of a two-tier architecture that includes a web layer and a database layer. The web server is vulnerable to cross-site scripting (XSS) attacks. What should a solutions architect do to remediate the vulnerability?,Create a Classic Load Balancer. Put the web layer behind the load balancer and enable AWS WAF.,Create a Network Load Balancer. Put the web layer behind the load balancer and enable AWS WAF.,Create an Application Load Balancer. Put the web layer behind the load balancer and enable AWS WAF.,Create an Application Load Balancer. Put the web layer behind the load balancer and use AWS Shield Standard.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
106,A recently acquired company is required to buikl its own infrastructure on AWS and migrate multiple applications to the cloud within a month. Each application has approximately 50 TB of data to be transferred. After the migration is complete this company and its parent company will both require secure network connectivity with consistent throughput from their data centers to the applications. A solutions architect must ensure one-time data migration and ongoing network connectivity. Which solution will meet these requirements?,AWS Direct Connect for both the initial transfer and ongoing connectivity,AWS Site-to-Site VPN for both the initial transfer and ongoing connectivity,AWS Snowball for the initial transfer and AWS Direct Connect for ongoing connectivity,AWS Snowball for the initial transfer and AWS Site-to-Site VPN for ongoing connectivity,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
107,Organizers for a global event want to put daily reports online as static HTML pages. The pages are expected to generate millions of views from users around the world The files are stored in an Amazon S3 bucket. A solutions architect has been asked to design an efficient and effective solution. Which action should the solutions architect take to accomplish this?,Generate presigned URLs for the files,Use cross-Region replication to all Regions,Use the geoproximity feature of Amazon Route 53,Use Amazon CloudFront with the S3 bucket as its origin,,D,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/DownloadDistS3AndCustomOrigins.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
108,"A company runs an application on a group of Amazon Linux EC2 instances, The application writes log files using standard API calls For compliance reasons, all log files must be retained indefinitely and will be analyzed by a reporting tool that must access all files concurrently. Which storage service should a solutions architect use to provide the MOST cost-effective solution?",Amazon EBS,Amazon EFS,Amazon EC2 instance store,Amazon S3,,D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
109,A company's application is running on Amazon EC2 instances m a single Region in the event of a disaster a solutions architect needs to ensure that the resources can also be deployed to a second Region. Which combination of actions should the solutions architect take to accomplish this-? (Select TWO),Detach a volume on an EC2 instance and copy it to Amazon S3,Launch a new EC2 instance from an Amazon Machine image (AMI) in a new Region,Launch a new EC2 instance in a new Region and copy a volume from Amazon S3 to the new instance,Copy an Amazon Machine Image (AMI) of an EC2 instance and specify a different Region for the destination,Copy an Amazon Elastic Block Store (Amazon EBS) volume from Amazon S3 and launch an EC2 instance in the destination Region using that EBS VOLUME,B D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
110,A solutions architect is designing a two-tier web application. The application consists of a public-facing web tier hosted on Amazon EC2 in public subnets. The database tier consists of Microsoft SQL Server running on Amazon EC2 in a private subnet Security is a high priority for the company. How should security groups be configured in this situation? (Select TWO ),Configure the security group for the web tier to allow inbound traffic on port 443 from 0.0.0.0/70,Configure the security group for the web tier to allow outbound traffic on port 443 from 0.0.0.0/0,Configure the security group for the database tier to allow inbound traffic on port 1433 from the security group for the web tier,Configure the security group for the database tier to allow outbound traffic on ports 443 and 1433 to the security group for the web tier,Configure the security group for the database tier to allow inbound traffic on ports 443 and 1433 from the security group for the web tier,A C,The answer should be A to allow the internet to access the web tier and C to allow only the web tier to access the database using the correct port. No ports are required outbound as traffic will automatically be permitted outbound when a session is established inbound.,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
111,A data science team requires storage for nightly log processing. The size and number of logs is unknown and will persist for 24 hours only. What is the MOST cost-effective solution?,Amazon S3 Glacier,Amazon S3 Standard,Amazon S3 intelligent-Tiering,Amazon S3 One Zone-Infrequent Access {S3 One Zone-IA),,B,The logs will persist for only 24 hours and therefore you won't be able to store in Glacier.,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
112,A company is hosting a web application on AWS using a single Amazon EC2 instance that stores user- uploaded documents in an Amazon EBS volume. For better scalability and availability the company duplicated the architecture and created a second EC2 instance and EBS volume in another Availability Zone: placing both behind an Application Load Balancer. After completing this change users reported that each time they refreshed the website they could see one subset of their documents or the other but never all of the documents at the same time. What should a solutions architect propose to ensure users see all of their documents at once?,Copy the data so both EBS volumes contain all the documents.,Configure the Application Load Balancer to direct a user to the server with the documents.,Copy the data from both EBS volumes to Amazon EFS. Modify the application to save new documents to Amazon EPS.,Configure the Application Load Balancer to send the request to both servers. Return each document from the correct server.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
113,You are building infrastructure for a data warehousing solution and an extra request has come through that there will be a lot of business reporting queries running all the time and you are not sure if your current DB instance will be able to handle it. What would be the best solution for this?,DB Parameter Groups,Read Replicas,Multi-AZ DB Instance deployment,Database Snapshots,,B,"Read Replicas make it easy to take advantage of MySQL's built-in replication functionality to elastically scale out beyond the capacity constraints of a single DB Instance for read-heavy database workloads. There are a variety of scenarios where deploying one or more Read Replicas for a given source DB Instance may make sense. Common reasons for deploying a Read Replica include: Scaling beyond the compute or I/O capacity of a single DB Instance for read-heavy database workloads. This excess read traffic can be directed to one or more Read Replicas. Serving read traffic while the source DB Instance is unavailable. If your source DB Instance cannot take I/O requests (e.g. due to I/O suspension for backups or scheduled maintenance), you can direct read traffic to your Read Replica(s). For this use case, keep in mind that the data on the Read Replica may be ""stale"" since the source DB Instance is unavailable. Business reporting or data warehousing scenarios; you may want business reporting queries to run against a Read Replica, rather than your primary, production DB Instance. Reference: https://aws.amazon.com/rds/faqs/",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
114,"In DynamoDB, could you use IAM to grant access to Amazon DynamoDB resources and API actions?",In DynamoDB there is no need to grant access,Depended to the type of access,No,Yes,,D,"Amazon DynamoDB integrates with AWS Identity and Access Management (IAM). You can use AWS IAM to grant access to Amazon DynamoDB resources and API actions. To do this, you first write an AWS IAM policy, which is a document that explicitly lists the permissions you want to grant. You then attach that policy to an AWS IAM user or role. Reference: http://docs.aws.amazon.com/amazondynamodb/latest/developerguide/UsingIAMWithDDB.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
115,"Much of your company's data does not need to be accessed often, and can take several hours for retrieval time, so it's stored on Amazon Glacier. However someone within your organization has expressed concerns that his data is more sensitive than the other data, and is wondering whether the high level of encryption that he knows is on S3 is also used on the much cheaper Glacier service. Which of the following statements would be most applicable in regards to this concern?","There is no encryption on Amazon Glacier, that's why it is cheaper.",Amazon Glacier automatically encrypts the data using AES-128 a lesser encryption method than Amazon S3 but you can change it to AES-256 if you are willing to pay more.,"Amazon Glacier automatically encrypts the data using AES-256, the same as Amazon S3.",Amazon Glacier automatically encrypts the data using AES-128 a lesser encryption method than Amazon S3.,,C,"Like Amazon S3, the Amazon Glacier service provides low-cost, secure, and durable storage. But where S3 is designed for rapid retrieval, Glacier is meant to be used as an archival service for data that is not accessed often, and for which retrieval times of several hours are suitable. Amazon Glacier automatically encrypts the data using AES-256 and stores it durably in an immutable form. Amazon Glacier is designed to provide average annual durability of 99.999999999% for an archive. It stores each archive in multiple facilities and multiple devices. Unlike traditional systems which can require laborious data verification and manual repair, Glacier performs regular, systematic data integrity checks, and is built to be automatically self-healing. Reference: http://d0.awsstatic.com/whitepapers/Security/AWS%20Security%20Whitepaper.pdf",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
116,Your EBS volumes do not seem to be performing as expected and your team leader has requested you look into improving their performance. Which of the following is not a true statement relating to the performance of your EBS volumes?,Frequent snapshots provide a higher level of data durability and they will not degrade the performance of your application while the snapshot is in progress.,General Purpose (SSD) and Provisioned IOPS (SSD) volumes have a throughput limit of 128 MB/s per volume.,"There is a relationship between the maximum performance of your EBS volumes, the amount of I/O you are driving to them, and the amount of time it takes for each transaction to complete.",There is a 5 to 50 percent reduction in IOPS when you first access each block of data on a newly created or restored EBS volume,,A,"Several factors can affect the performance of Amazon EBS volumes, such as instance configuration, I/O characteristics, workload demand, and storage configuration. Frequent snapshots provide a higher level of data durability, but they may slightly degrade the performance of your application while the snapshot is in progress. This trade off becomes critical when you have data that changes rapidly. Whenever possible, plan for snapshots to occur during off-peak times in order to minimize workload impact. Reference: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSPerformance.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
117,"You've created your first load balancer and have registered your EC2 instances with the load balancer. Elastic Load Balancing routinely performs health checks on all the registered EC2 instances and automatically distributes all incoming requests to the DNS name of your load balancer across your registered, healthy EC2 instances. By default, the load balancer uses the ___ protocol for checking the health of your instances.",HTTPS,HTTP,ICMP,IPv6,,B,"In Elastic Load Balancing a health configuration uses information such as protocol, ping port, ping path (URL), response timeout period, and health check interval to determine the health state of the instances registered with the load balancer. Currently, HTTP on port 80 is the default health check. Reference: http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/TerminologyandKeyConcepts.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
118,A major finance organisation has engaged your company to set up a large data mining application. Using AWS you decide the best service for this is Amazon Elastic MapReduce(EMR) which you know uses Hadoop. Which of the following statements best describes Hadoop?,Hadoop is 3rd Party software which can be installed using AMI,Hadoop is an open source python web framework,Hadoop is an open source Java software framework,Hadoop is an open source javascript framework,,C,"Amazon EMR uses Apache Hadoop as its distributed data processing engine. Hadoop is an open source, Java software framework that supports data- intensive distributed applications running on large clusters of commodity hardware. Hadoop implements a programming model named ""MapReduce,"" where the data is divided into many small fragments of work, each of which may be executed on any node in the cluster. This framework has been widely used by developers, enterprises and startups and has proven to be a reliable software platform for processing up to petabytes of data on clusters of thousands of commodity machines. Reference: http://aws.amazon.com/elasticmapreduce/faqs/",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
119,"In Amazon EC2 Container Service, are other container types supported?","Yes, EC2 Container Service supports any container service you need.","Yes, EC2 Container Service also supports Microsoft container service.","No, Docker is the only container platform supported by EC2 Container Service presently.","Yes, EC2 Container Service supports Microsoft container service and Openstack.",,C,"In Amazon EC2 Container Service, Docker is the only container platform supported by EC2 Container Service presently. Reference: http://aws.amazon.com/ecs/faqs/",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
120,A Solutions Architect is designing the architecture for a web application that will be hosted on AWS. Internet users will access the application using HTTP and HTTPS. How should the Architect design the traffic control requirements?,Use a network ACL to allow outbound ports for HTTP and HTTPS. Deny other traffic for inbound and outbound.,Use a network ACL to allow inbound ports for HTTP and HTTPS. Deny other traffic for inbound and outbound.,Allow inbound ports for HTTP and HTTPS in the security group used by the web servers.,Allow outbound ports for HTTP and HTTPS in the security group used by the web servers.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
121,"A solutions architect is designing a system to analyze the performance of financial markets while the markets are closed. The system will run a series of compute-intensive jobs for 4 hours every night. The time to complete the compute jobs is expected to remain constant, and jobs cannot be interrupted once started. Once completed, the system is expected to run for a minimum of 1 year. Which type of Amazon EC2 instances should be used to reduce the cost of the system?",Spot Instances,On-Demand Instances,Standard Reserved Instances,Scheduled Reserved Instances,,D,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-scheduled-instances.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
122,A company hosts a static website on-premises and wants to migrate the website to AWS. The website should load as quickly as possible for users around the world. The company also wants the most cost- effective solution. What should a solutions architect do to accomplish this?,Copy the website content to an Amazon S3 bucket. Configure the bucket to serve static webpage content. Replicate the S3 bucket to multiple AWS Regions,Copy the website content to an Amazon S3 bucket. Configure the bucket to serve static webpage content. Configure Amazon CloudFront with the S3 bucket as the origin,Copy the website content to an Amazon EBS-backed. Amazon EC2 instance running Apache HTTP Server. Configure Amazon Route 53 geolocation routing policies to select the closest origin,Copy the website content to multiple Amazon EBS-backed. Amazon EC2 instances running Apache HTTP Server in multiple AWS Regions. Configure Amazon CloudFront geolocation routing policies to select the closest origin,,B,Having the same content replicated to multiple buckets is not cost effective as your paying multiple times for the same service.,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
123,"A solutions architect is implementing a document review application using an Amazon S3 bucket for storage. The solution must prevent accidental deletion of the documents and ensure that all versions of the documents are available. Users must be able to download, modify, and upload documents. Which combination of actions should be taken to meet these requirements'? (Select TWO)",Enable a read-only bucket ACL,Enable versioning on the bucket,Attach an 1AM policy to the bucket,Enable MFA Delete on the bucket,Encrypt the bucket using AWS KMS,B D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
124,A company built a food ordering application that captures user data and stores it for future analysis. The application's static front end is deployed on an Amazon EC2 instance. The front-end application sends the requests to the backend application running on separate EC2 instance. The backend application then stores the data in Amazon RDS. What should a solutions architect do to decouple the architecture and make it scalable?,Use Amazon S3 to serve the front-end application which sends requests to Amazon EC2 to execute the backend application. The backend application will process and store the data in Amazon RDS,Use Amazon S3 to serve the front-end application and write requests to an Amazon Simple Notification Service (Amazon SNS) topic. Subscribe Amazon EC2 instances to the HTTP/HTTPS endpoint of the topic and process and store the data in Amazon RDS,Use an EC2 instance to serve the front end and write requests to an Amazon SQS queue. Place the backend instance in an Auto Scaling group and scale based on the queue depth to process and store the data in Amazon RDS,Use Amazon S3 to serve the static front-end application and send requests to Amazon API Gateway which writes the requests to an Amazon SQS queue. Place the backend instances in an Auto Scaling group and scale based on the queue depth to process and store the data in Amazon RDS,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
125,"A Solutions Architect must design a web application that will be hosted on AWS, allowing users to purchase access to premium, shared content that is stored in an S3 bucket. Upon payment, content will be available for download for 14 days before the user is denied access. Which of the following would be the LEAST complicated implementation?",Use an Amazon CloudFront distribution with an origin access identity (OAI) Configure the distribution with an Amazon S3 origin to provide access to the file through signed URLs Design a Lambda function to remove data that is older than 14 days,Use an S3 bucket and provide direct access to the tile Design the application to track purchases in a DynamoDH table Configure a Lambda function to remove data that is older than 14 days based on a query to Amazon DynamoDB,Use an Amazon CloudFront distribution with an OAI Configure the distribution with an Amazon S3 origin to provide access to the file through signed URLs Design the application to sot an expiration of 14 days for the URL,Use an Amazon CloudFront distribution with an OAI Configure the distribution with an Amazon S3 origin to provide access to the file through signed URLs Design the application to set an expiration of 60 minutes for the URL and recreate the URL as necessary,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
126,A company wants to host a scalable web application on AWS. The application will be accessed by users from different geographic regions of the world. Application users will be able to download and upload unique data up to gigabytes in size. The development team wants a cost-effective solution to minimize upload and download latency and maximize performance. What should a solutions architect do to accomplish this?,Use Amazon S3 with Transfer Acceleration to host the application.,Use Amazon S3 with CacheControl headers to host the application.,Use Amazon EC2 with Auto Scaling and Amazon CloudFront to host the application.,Use Amazon EC2 with Auto Scaling and Amazon ElastiCache to host the application.,,C,https://aws.amazon.com/ec2/autoscaling/,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
127,A company captures clickstream data from multiple websites and analyzes it using batch processing. The data is loaded nightly into Amazon Redshift and is consumed by business analysts. The company wants to move towards near-real-time data processing for timely insights. The solution should process the streaming data with minimal effort and operational overhead. Which combination of AWS services are MOST cost-effective for this solution? (Choose two.),Amazon EC2,AWS Lambda,Amazon Kinesis Data Streams,Amazon Kinesis Data Firehose,Amazon Kinesis Data Analytics,A D,https://d0.awsstatic.com/whitepapers/whitepaper-streaming-data-solutions-on-aws-with-amazonkinesis.pdf (9),,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
128,"A company is migrating a three-tier application to AWS. The application requires a MySQL database. In the past, the application users reported poor application performance when creating new entries. These performance issues were caused by users generating different real-time reports from the application duringworking hours. Which solution will improve the performance of the application when it is moved to AWS?",Import the data into an Amazon DynamoDB table with provisioned capacity. Refactor the application to use DynamoDB for reports. ,Create the database on a compute optimized Amazon EC2 instance. Ensure compute resources exceed the on-premises database. ,Create an Amazon Aurora MySQL Multi-AZ DB cluster with multiple read replicas. Configure the application reader endpoint for reports. ,Create an Amazon Aurora MySQL Multi-AZ DB cluster. Configure the application to use the backup instance of the cluster as an endpoint for the reports. ,,B,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
129,"A start-up company has a web application based in the us-east-1 Region with multiple Amazon EC2 instances running behind an Application Load Balancer across multiple Availability Zones. As the company's user base grows in the us-west-1 Region, it needs a solution with low latency and high availability. What should a solutions architect do to accomplish this?",Provision EC2 instances in us-west-1. Switch the Application Load Balancer to a Network Load Balancer to achieve cross-Region load balancing.,Provision EC2 instances and an Application Load Balancer in us-west-1. Make the load balancer distribute the traffic based on the location of the request.,Provision EC2 instances and configure an Application Load Balancer in us-west-1. Create an accelerator in AWS Global Accelerator that uses an endpoint group that includes the load balancer endpoints in both Regions.,Provision EC2 instances and configure an Application Load Balancer in us-west-1. Configure Amazon Route 53 with a weighted routing policy. Create alias records in Route 53 that point to the Application Load Balancer.,,B,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
130,A company is planning to migrate a business-critical dataset to Amazon S3. The current solution design uses a single S3 bucket in the us-east-1 Region with versioning enabled to store the dataset. The company's disaster recovery policy states that all data multiple AWS Regions. How should a solutions architect design the S3 solution?,Create an additional S3 bucket in another Region and configure cross-Region replication.,Create an additional S3 bucket in another Region and configure cross-origin resource sharing (CORS).,Create an additional S3 bucket with versioning in another Region and configure cross-Region replication.,Create an additional S3 bucket with versioning in another Region and configure cross-origin resource (CORS).,,C,https://medium.com/@KerrySheldon/s3-exercise-2-4-adding-objects-to-an-s3-bucket-with-crossregion-replication-a78b332b7697,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
131,A company has application running on Amazon EC2 instances in a VPC. One of the applications needs to call an Amazon S3 API to store and read objects. The company's security policies restrict any internet-bound traffic from the applications. Which action will fulfill these requirements and maintain security?,Configure an S3 interface endpoint.,Configure an S3 gateway endpoint.,Create an S3 bucket in a private subnet.,Create an S3 bucket in the same Region as the EC2 instance.,,C,https://aws.amazon.com/blogs/aws/new-vpc-endpoint-for-amazon-s3/,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
132,A company's web application uses an Amazon RDS PostgreSQL DB instance to store its application data. During the financial closing period at the start of every month. Accountants run large queries that impact the database's performance due to high usage. The company wants to minimize the impact that the reporting activity has on the web application. What should a solutions architect do to reduce the impact on the database with the LEAST amount of effort?,Create a read replica and direct reporting traffic to the replica.,Create a Multi-AZ database and direct reporting traffic to the standby.,Create a cross-Region read replica and direct reporting traffic to the replica.,Create an Amazon Redshift database and direct reporting traffic to the Amazon Redshift database.,,B,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
133,A company must generate sales reports at the beginning of every month. The reporting process launches 20 Amazon EC2 instances on the first of the month. The process runs for 7 days and cannot be interrupted. The company wants to minimize costs. Which pricing model should the company choose?,Reserved Instances,Spot Block Instances,On-Demand Instances,Scheduled Reserved Instances,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
134,A company is hosting a website behind multiple Application Load Balancers. The company has different distribution rights for its content around the world. A solutions architect needs to ensure that users are served the correct content without violating distribution rights. Which configuration should the solutions architect choose to meet these requirements?,Configure Amazon CloudFront with AWS WAF.,Configure Application Load Balancers with AWS WAF.,Configure Amazon Route 53 with a geolocation policy.,Configure Amazon Route 53 with a geoproximity routing policy.,,C,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/routing-policy.html (geolocation routing),,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
135,"A company's website is using an Amazon RDS MySQL Multi-AZ DB instance for its transactional data storage. There are other internal systems that query this DB instance to fetch data for internal batch processing. The RDS DB instance slows down significantly the internal systems fetch data. This impacts the website's read and write performance, and the users experience slow response times. Which solution will improve the website's performance?",Use an RDS PostgreSQL DB instance instead of a MySQL database.,Use Amazon ElastiCache to cache the query responses for the website.,Add an additional Availability Zone to the current RDS MySQL Multi.AZ DB instance.,Add a read replica to the RDS DB instance and configure the internal systems to query the read replica.,,D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
136,A solutions architect is designing storage for a high performance computing (HPC) environment based on Amazon Linux. The workload stores and processes a large amount of engineering drawings that require shared storage and heavy computing. Which storage option would be the optimal solution?,Amazon Elastic File System (Amazon EFS),Amazon FSx for Lustre,Amazon EC2 instance store,Amazon EBS Provisioned IOPS SSD (io1),,B,https://d1.awsstatic.com/whitepapers/AWS%20Partner%20Network_HPC%20Storage%20Options_2019_FINAL.pdf (p.8),,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
137,A company is performing an AWS Well-Architected Framework review of an existing workload deployed on AWS. The review identified a public-facing website running on the same Amazon EC2 instance as a Microsoft Active Directory domain controller that was install recently to support other AWS services. A solutions architect needs to recommend a new design that would improve the security of the architecture and minimize the administrative demand on IT staff. What should the solutions architect recommend?,Use AWS Directory Service to create a managed Active Directory. Uninstall Active Directory on the current EC2 instance.,Create another EC2 instance in the same subnet and reinstall Active Directory on it. Uninstall Active Directory.,Use AWS Directory Service to create an Active Directory connector. Proxy Active Directory requests to the Active domain controller running on the current EC2 instance.,Enable AWS Single Sign-On (AWS SSO) with Security Assertion Markup Language (SAML) 2.0 federation with the current Active Directory controller. Modify the EC2 instance's security group to deny public access to Active Directory.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
138,A company runs an application in a branch office within a small data closet with no virtualized compute resources. The application data is stored on an NFS volume. Compliance standards require a daily offsite backup of the NFS volume. Which solution meet these requirements?,Install an AWS Storage Gateway file gateway on premises to replicate the data to Amazon S3.,Install an AWS Storage Gateway file gateway hardware appliance on premises to replicate the data to Amazon S3.,Install an AWS Storage Gateway volume gateway with stored volumes on premises to replicate the data to Amazon S3.,Install an AWS Storage Gateway volume gateway with cached volumes on premises to replicate the data to Amazon S3.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
139,"An application hosted on AWS is experiencing performance problems, and the application vendor wants to perform an analysis of the log file to troubleshoot further. The log file is stored on Amazon S3 and is 10 GB in size. The application owner will make the log file available to the vendor for a limited time. What is the MOST secure way to do this?",Enable public read on the S3 object and provide the link to the vendor.,Upload the file to Amazon WorkDocs and share the public link with the vendor.,Generate a presigned URL and have the vendor download the log file before it expires.,Create an IAM user for the vendor to provide access to the S3 bucket and the application. Enforce multifactor authentication.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
